text,label
ขออนุญาติ ติบริการของพนักงานทางร้านด้วยค่ะ #mkสาขาโลตัสมีนบุรี การบริการแย่มากการรับออเดอร์ไม่สามมารถตอบคำถามที่ลูกค้าถามไปได้ ฉันถามพนักงานที่ชื่อสุวัฒน์ว่า ชุดแซ่บชีลมีอะไรบ้างเพื่อที่จะได้รู้รายการอารหาร เยอะมากรึน้อยเพื่อจะได้สั่งอาหาร #เพิ่ม พนักงานตอบกลับมาว่า ไม่ทราบคับผมไม่เคยกิน ซึ่งจริงๆๆแล้วการให้บริการของพนักงานต้องตอบคำถามเรื่องอาหารได้ดีไม่ใช่หรอค่ะ..?? (แต่การตอบคำถามแบบนี้เค้าเรียกว่าไรค่ะ) การวางชุดถ้วยชามวางกระแทกเสียงดังใส่ลูกค้า ไม่มีคำขอโทดชักสีหน้าใส่ไม่ยิ้มแย้ม....??(นี้คือการบริการใช่รึเปล่าค่ะ (คือจะมากินๆๆแบบอร่อยๆกับเจอพนักแบบนี้ความรู้สึกเหมือนไปทำไรผิดถึงต้องวางถ้วยจานกระแทกใส่แบบนี้ บนโต๊ะไม่มีชุดถ้วยจานเข้าใจค่ะว่าพึ่งเคลีย์โต๊ะเสร็จแต่การวางชุดถ้วยชามกระแทก) แบบนี้ไม่เข้าใจค่ะ รับออเดอร์ไม่ฟังลูกค้า ไม่ทวนราการอาหาร จดอาหารผิดทั้งทีไม่ได้สั่ง....ควรปรับปรุงยังไงกับพนักชื่อ #สุวัฒน์ค่ะ,neg
โบกหน้าหื้อ,neu
เบียร์สปายสเมอร์นอฟเป๊บซี่ ยังไง เข้าห้องน้ำสามรอบแร้ว,neg
หิวหนมมมมม,neu
เนื่องจากวันเกิดเซฮุนนนนน❤️ แจก ลิปHolika Holika RT+ฟอล เราสุ่มคนที่ฟอลเด้ออ เสือกสีได้เองเลย ประกาศ 13/04/2561…,neu
"DJ.ชมพู แจกฟรี! บัตร Chang music แจกอีกครั้งนะค่ะ แจกกันเฉยๆไม่ต้องเล่นเกม! กับบัตรเข้างานที่คนอุดรฯรอคอยมาอย่างยาวนาน! พลาดไม่ได้ การกลับมาอีกครั้งอย่างยิ่งใหญ่กับงาน Chang Music Connection Music Tropolis มหานครดนตรีแห่งความมันส์ เติมเต็มคำว่าเพื่อน งานนี้ชาวอุดรฯเตรียมพบกับศิลปินชั้นแนวหน้าของเมืองไทยไม่ว่าจะเป็น Retrospect , Tattoo Colour และปาล์มมี่ 16 ธันวาคมนี้ที่ UD Town ห้ามพลาดด้วยประการทั้งปวง รับบัตรเข้างานที่ได้แฟนเพจ 104 FM ฟรี! ไม่มีเงื่อนไข Inbox แจ้งชื่อหรือโทรฯเข้าสถานีวิทยุ 104 Star Radio 042-341-000 บัตรเข้างาน 1 ใบ สามารถไปได้ถึง 4 คน! งานนี้สงวนสิทธิ์สำหรับผู้ที่มีอายุ 20 ปีขึ้นไปเท่านั้นนะครับ ต่ำกว่านี้ รอคราวหน้านะน้อง! ต้องน้ำบัตรประชาชนแสดงก่อนเข้างานทุกคน",neu
ผู้เวลาไปถ่าย innisfree นี่งานดีชิบหายเบย,neg
ทางหัวหน้างานได้โทรมาแล้วนะคะ ขอบคุณที่ทางMK ใส่ใจในปัญหาของลูกค้าและพร้อมจะรับผิดชอบและแก้ไขไปในทางที่ดีขึ้นค่ะ,pos
เกลียดจริงๆลย พวกแบบขึ้น #BTS เวลาเบียดๆช่วงเวลาเร่งรีบ โดนตัวนิดหน่อยไม่ได้เลย ทำเป็นแหยง ปัดผมใส่ แม้กูอยากโดนตัวมึงมากเลยมั้ง รู้นิเวลาเร่งรีบใครๆก็อยากกลับบ้าน ถ้ามึงไม่อยากเบียดก็ไปนั่งรถส่วนตัวไป ทำเป็นดัดจริต ถ้าไม่ติดว่าไม่อยากมีเรื่องกุจะด่าแม่งบน #BTS แล้ว อีดอก,neg
เพื่อนถามโซจูอร่อยไหม?เหมือนเหล้าขาวไหม?นี่ไม่เคยกินเหล้าขาวแบบเพียวเลยบอกว่ารสชาตดีกว่าหงส์ทองเพียว เพื่อนแม่งไม่เคยกินเหล้าเพียวอีก โวะ,neg
ตัวไหนดีป้า ? ค่าหิ้ว 3 ตัว ต่อเบียร์ช้างป๋อง 500 มล. ป๋องนึงนะ,neu
พวกโจรในเครืองแบบ,neu
ผมรักเม้นนี้ ชัดเจน ทราบแล้วเปลี่ยน,pos
เคยเจอ พี่กะลา ที่งานเบียร์ช้าง กาญจบุรี มันมากครับ....,neu
แค่แถมเป๊ปซี่ เงื่อนไขเยอะมากเบย 55,neg
ไม่ใช่​แพง​ แต่แพงมากยังดีที่ยังมีแมค อยู่ยังพอซื้อกินได้ส่วนร้านอื่นอย่าได้ซื้อ,neu
สามารถซื้อหน้าร้านกลับบ้านได้ค่ะ แต่ไม่ร่วมบริการกับเดลิเวอรี่นะคะ,neu
เก๊าหิวววว,neu
cf เซรั่ม lancome 2150,neu
ลาบลุงน้อยนี่พวกเหี้ยเลิกคาบเช้า ยกแสงโสมไปกลมนึง น้ำแข็งฟรีน้ำเปล่าฟรี แดกตอนเที่ยงแล้วเมามาเรียนคาบบ่ายต่อ,neg
เมนูฮิตที่ทุกคนคนชอบ,pos
น้องเหล้าปั่น น้องสปาย น้องฟูลมูน น้องหงษ์ทอง5555555,neu
ดื่มง่าย ดื่มคล่อง ไม่ต้องบีบจมูกเวลาดื่มด้วยจ้า จะไปซื้อกันยังนะ,pos
toyotaกับhondaต่างกันตรงการซ่อมบำรุงราคาซ่อมที่ต่างกันน่าจะจุดเลือกที่นิยมtoyotaมากกว่าแต่ถ้ามีเงินซ่อมบำรุงรถก็จบสำคัญที่สุดอยู่ที่ความต้องการของเจ้าของรถ,neu
กินช้างไหมละ,neu
ไปเลยกำลังว่าง,pos
สิ้นปี point ใน #GrabTH จะหมดอายุแล้ว ใครยังเหลือ point แล้วไม่รู้จะเอาไปทำอะไร อย่าปล่อยให้สูญเปล่านะคะ ใน Grabrewards มีให้โดเนทเงินให้หลายหน่วยงานและมูลนิธิเลย ไปโดเนทกันนะๆ,neu
สมน้ำหน้ารัฐบาลไทย บอกว่าประเทศไทยเป็นเมืองพุทธ ชนทำบริษัทเบียร์ช้างไปจดทะเบียนที่สิงคาโปร เก็บภาษีสบายเลยส่วนประเทศไทยได้แต่นั่งดู,neg
จะรอ จะกินกับบเธออออแง,pos
อย่างลิปสติกไคลี่ 3ce อะไรแบบเนี้ยเห็นขายในตลาดแท่งละร้อยสามแท่งสองร้อยเงี้ย ถามจริงกล้าซื้อจริงๆหรอวะ ปากเธอนะ ปา…,neg
ขอบ 18 ใส่ xtrail เท่ารัยครับ รับเทรินขอบเก่าด้วยมั้ยครับ มีขอบ 20 เลนโซอยู่ครับ,neu
วันนั้นพี่ไม่ได้กินช้างนะพี่ กินไฮเนเก้นต่างหาก ขี้ลืมจังนะเรา ^_^,neu
ช็อคที่ 1 Benz ขึ้นอันดับ 5 ชนะ มิตซู นิสสัน ฟอร์ด ช็อค 2 MG มาแรงมาก ช็อค 3 เข้าไปดู BMW ติดที่ 11 ปล chev หายสาบสูญ อันนี้ไม่ช็อค,neg
ผัดกระเพราให้ใส่หมู ถ้าใช้ช้าง จะเป็นเบียร์สาระนะ,neu
กินแลบปรกติสุขกันดีกว่า,neg
ไปไหมล่ะวันนี้,neu
ต้องจัดๆ,pos
วันนี้ลองเมนูน้ำมะพร้าวอัญชันของเอ็มเค หวานมาก ไม่มีกลิ่นทั้งกลิ่นมะพร้าวและอัญชันเลยอะ,neg
แม่ๆๆๆๆ 😍😍😍,neu
เบียร์ ยู,neu
กินแล้วค่ะนำ้ซุปเปรี้ยวไปหน่อยบางสาขานำ้ชาจืดไปนะ,neg
เอ๋า เพิ่งเคยดูเนื้อคาราโอเกะ เพิ่งรู้ว่าร้องแบบนี้ ก่อนหน้านี้ร้องว่า ด๋าวด่าว ด๋าวได๋ ดะดิดง 5555555,pos
แสงโสม. แบน1 แน้คับ,neu
แอดมินขออภัยในเหตุการณ์ที่เกิดขึ้นจากใจจริงมา ณ ที่นี้และขอทราบช่วงเวลาที่คุณลูกค้าเข้าใช้บริการหากคุณลูกค้ายังเก็บใบเสร็จไว้แอดมินขอทราบหมายเลขใบเสร็จเพื่อให้ทางหัวหน้างานตรวจสอบการทำงานของพนักงานที่สาขาด้วยนะคะ,neu
ก็คือบีทสมกับเป็นมอนอะ ฟังจากดอยสุเทพ ก็รู้ว่ามอน,neu
ไหนบอกจะเลิก,neg
ต่างประเทศเขาไปถึงไหนแล้ว ตร.ไทยแม่งยังยุในกะลา!!!!!,neg
ก้อนรีบปรับปรุงเลยนะ นี่กินประจำ แต่ตอนนี้ไม่กล้าอะมันนึกถึงภาพ 🤦‍♀️🤦‍♀️🤦‍♀️,neg
เขาอยากกินนนนน,pos
บุรีรัมย์ ยูไนเต็ด แชมป์ไทยลีก 5สมัย สู้ๆเพื่อแชมป์แรกของฤดูกาล2018 พวกเราGU12 เอาใจช่วยเชียร์ตลอดไป ณฐกฤต พยัคฆะ เราไปเชียร์บุรีรัมย์ด้วยกัน สู้ๆครับ #Chang#ThailandChampionCup #มากกว่ากีฬาคือน้ำใจนักกีฬา #ThaiBevThaiTalent,neu
เมื่อวานชานมไข่มุกก็อร่อย วันนี้รุ่นพี่ก็อร่อย //สูดกาววาดไม่ทันแล้ว #เต็นสิค,pos
แวะกินเอมเค 55555,pos
น่าสน!!!ไปม๊ะ,pos
ต้องลอง555,pos
อยากได้เตาอบบาบีก้อน จะเอามาทำขนมให้ลูกๆ ไปทานเล่นระหว่างวันค่ะ เป็นแม่บ้านว่างๆ ก็จะสรรหาเมนูใหม่ๆ ตามยูทูปเอามาลองทำ มีลูกนี่แหละเป็นหนูทดลอง 555 เห็นเตาก้อนแล้วอยากทำขนมคุ๊กกี้อบมากเลยค่ะ เอาเป็นรูปซานต้ากับต้นคริสมาส ฝึกทันพอดีก่อนเทศกาลเลย ❤️❤️❤️❤️❤️,neu
เกิน 50 ไม่ไป!,neu
แฟชั่นไอส์แลนด์ วันที่3/12ค่า,neu
ลดพิเศษเเต่ของน้อยไม่ค่อยเติม,neg
ฮื้ออออ เค้าสับเพร่า เค้าสับเพร่าาาาา เค้าจ่ายเต็มมมมม แต่อร่อยเด้ออออ ฮื้อออ,neg
ผ่านนิเทศไปก่อนนะ,neu
ไปคนเดียวดีฝ่าา,neu
สาขาเพลินนารี่ ถ้าไม่อยากขายก้อปิดเถอะคับ ดูแลไม่ดีแล้วพนง.ยังไม่มีจิตใจในการขายด้วย เวลา1ชม.กับหลายๆอย่างไม่ไหวคับ หาคนมาดูบ้างนะครับ,neg
ขาดเลยละ55 ไฮเนเก้น พอๆๆ 2 ขวด 555,neu
ลอรีอัล รีไวทัลลิฟท์ เดอร์มาลิฟท์เดย์ครีม 50กรัม/ไนท์ ครีม 50กรัม ได้รับคูปองส่วนลด จากราคาเต็ม 599 บาท ลด 120บาท เหลือ 479บาท ในโปรโมชั่น watsons Beauty in Summer (29 มี.ค.-25 เม.ย. 61),neu
แล้วโครงการอื่นล่ะ??? แสนสิริเตรียมแจงกรณีปัญหาผนังห้องชุดโครงการเดอะ เบส สุขุมวิท 77 พรุ่งนี้ หลังพบใช้โฟมเป็นวัสดุก่อผนัง”,neg
มีซูชิหรอ,neu
นิสสันโน๊ตครับ,neu
ขอบพระคุณคร้าบ,neu
ขอสำรองได้มั้ยอ่า,neu
ตอนนอนใส่แบบสอดฟินไม่เลอะที่นอน ตอนเช้าแบบผ้าอนามัยทั่วไป แต่แบบนี้ก็น่าลองนะคะคงสะดวกกว่าเยอะ,pos
ป๊า เค้าอยากกินน 😁😁,pos
ไป อยากจังแล้วนิ,pos
สมองไหลตลอด,neu
แอดมินขอส่งเรื่องให้หัวหน้างานตรวจสอบการทำงานของพนักงานที่สาขาให้นะคะ และขอน้อมรับคำแนะนำของลูกค้า เพื่อส่งต่อไปยังหน่วยงานที่เกี่ยวข้องเพื่อการพัฒนาและปรับปรุงการบริการของเราให้ดียิ่งๆขึ้นไปนะคะ,neu
ซื้อไร ชวนไปแดร๊กส์,neu
การได้สั่งลาวันอาทิตย์ ด้วย Jameson Ginger & Lime สักแก้วนี่มันดีจริงๆ นะ ถ้าไม่เชื่อ ก็ลองทำตามดูได้! #JamesonThailand #TwiceAsSmooth,pos
นี่นิสสันยังดูไม่ใหญ่อีกเหรอครับ..ส่วนตัวคิดว่ารถกระบะนิสันออกแบบดูเทอะทะกว่าค่ายอื่นในยุคเดียวกัน(แต่ดูตัวเลขแล้วก็ไม่ได้ใหญ่นะ)ถ้าเขาเดินเกมแบบค่ายเจ้าตลาดทั้ง2ค่ายหรือออกตัวเท่ๆแบบฟอร์ดน่าตะไปได้ดีกว่านี้(ฟอร์ดยังไม่ใข่แรปเตอร์นะแรปเตอร์ส่วนตัวว่าแรปเตอร์เป็นปิคอัพหรูน่าจะเฉพาะกลุ่มที่เงินถึงๆ),neg
(‘GET 102.5’ ร่วมสร้างปรากฏการณ์เรืองแสงสุดยิ่งใหญ่ เอาใจคนรักสุขภาพ ใน ‘HONDA GET GLOW RUN’) http://www.jiggaban.com/97024-get1025-4/ ‘GET 102.5’ ร่วมสร้างปรากฏการณ์เรืองแสงสุดยิ่งใหญ่ เอาใจคนรักสุขภาพ ใน ‘HONDA GET GLOW RUN’ ​กลับมาอีกครั้งกับงาน “HONDA GET GLOW RUN” มหกรรมวิ่งเรืองแสง ณ สะพานพระราม 8 ที่จัดโดย “คลื่น GET 102.5” บอกได้คำเดียวว่า ครั้งนี้จัดเต็มยิ่งใหญ่อลังการกว่าเดิม รวมพลนักวิ่งทั้งมืออาชีพ และมือสมัครเล่นกว่... ‘GET 102.5’ ร่วมสร้างปรากฏการณ์เรืองแสงสุดยิ่งใหญ่ เอาใจคนรักสุขภาพ ใน ‘HONDA GET GLOW RUN’ ​กลับมาอีกครั้งกับงาน “HONDA GET GLOW RUN” มหกรรมวิ่งเรืองแสง ณ สะพานพระราม 8 ที่จัดโดย “คลื่น GET 102.5” บอกได้คำเดียวว่า ครั้งนี้จัดเต็มยิ่งใหญ่อลังการกว่าเดิม รวมพลนักวิ่งทั้งมืออาชีพ และมือสมัครเล่นกว่,neu
กูตื่นเต้นมากกกกกกกกกกกกกกกกจะหมดเวลาปิดหีบแล้ววววอีกไม่กี่นาที,pos
http://www.steam-engine.org/,neu
ประเทศอื่นเขาสนับสนุนให้ใช้แทนบุหรี่จริง แต่ประเทศไทยมันยากหน่อยเพราะลงทุนสร้างโรงงานยาสูบใหม่ไปหลายร้อยล้าน,neu
เลิกซื้อ หันมาขอเพื่อนสูบแทนใช่มั้ยครับ,neu
แม้ว่า Nissan Maxima และ Murano ในปัจจุบันทำยอดขายดีขึ้นกว่ารุ่นเดิมแค่ระดับหนึ่ง แต่ในจีน Maxima กลับล้มเหลว Murano แค่พอไปได้ นี่อาจจะเป็นเหตุผลหลักที่ทำให้การปรับโฉม Minorchange ต้องดูสง่างามขึ้น,neu
ชิ,neu
หน้าพี่แบคตอนโดนเพื่อนลากไปตีคือกุวงวารมาก ฮือ หน้าแบบนี่กุต้องโดนเหรอ สติหลุดไปแล้ว5555555555555555555,pos
เลือกได้ 2 ซุป และน้ำจิ้มท่านละ 1 รสชาติค่ะ ^^,neu
มีโปรบุฟเฟต์หรือค่ะถึงวันที่เท่าไรค่ะ,neu
นิสสันโน๊ต รถประหยัดน้ำมัน ราคาเบา ดีไซร์เลิศ ขับขี่ดีมากๆ ใครๆก้อชอบ มีหลายสีให้เลือกด้วยครับ,pos
พลาดเพราะรีโว่นั่นแหละ,neu
5555เดะบอกอีกทีสอบเสร็จก่อน,neu
ดูข่าวที่ชวนปราศรัย เหมือนแกยังไม่รู้ว่า ทักษิณไม่ได้เป็นนายกแล้ว,neg
ถ้าทำประตูเปิดเหมือนRX8 เจ้า CHR จะเป็นผู้บุกเบิกรถทรงนี้อย่างเต็มตัว..เพราะมันจะเข้ากับบุคลิกรถแคปทึบสปอร์ต..น่าเสียดาย,neg
หิวพี่ก้อนอีกแล้ว,neu
ก็ต้องไง จะใครละ,neu
รพ.กรุงเทพพัทยา จัด Workshop : ไขความลับสุขภาพดีด้วยเทคนิค “ชะลอวัย” เมื่อวันเสาร์ที่ 9 ธันวาคม 2560 รพ.กรุงเทพพัทยา จัด Workshop : ไขความลับสุขภาพดีด้วยเทคนิค “ชะลอวัย” ชวนคุณมาไขความลับชะลอวัย โดย พญ.พันธลี ชื่นสัมพันธ์ แพทย์สาขาเวชศาสตร์ชะลอวัย ด้านโภชนาการและเมตาบอลิสึม รพ.กรุงเทพพัทยา และ คุณวิสสุตา กฤติยานิธิ นักกำหนดอาหาร และทีมนักโภชนาการ รพ.กรุงเทพพัทยา มาให้ความรู้แก่ผู้ร่วมกิจกรรม รวมถึงการทำอาหารเมนูสุขภาพด้วยตัวเองแบบง่าย ๆ โดยมีการให้ความรู้ในหัวข้อ ดังนี้ • วิธีดูแลสุขภาพคุณผู้ชาย คุณผู้หญิงให้กลับมาดูหนุ่มสาวขึ้นอีกครั้ง • ลองเช็คสัญญาณความเสื่อม คุณเข้าสู่วัยทองก่อนวัยหรือไม่? • เคล็ดลับกายฟิต หุ่นเฟริ์มเหมือนตอนหนุ่มสาว • DIY : Menu Lunch Box กินชะลอวัย ป้องกันโรคภัย ห่างไกลความอ้วน โดยในเดือนธันวาคมนี้ รพ.กรุงเทพพัทยา ได้มีการจัดแพ็กเกจตรวจสุขภาพ ในชื่อ แพ็กเกจสุขภาพดีรับปีใหม่ 2561 ราคาประหยัด ให้กับผู้ใส่ใจสุขภาพได้เลือกซื้อแพ้กเกจตรวจสุขภาพเป็นของขวัญมอบให้กับคนที่ท่านรัก โดยสามารถสอบถามรายละเอียดของแพ็กเกจตรวจสุขภาพได้ที่ รพ.กรุงเทพพัทยา หรือ โทร. 0 3333 3333,neu
มีลิปเมลินดาเบอร์03ไหมค่ะ,q
Ba hao 八號 บาร์จีนดีๆ ในซอยนานา เบียร์นุ่ม อาหารอร่อย นี่สั่ง Jian Bing กับเกี๊ยวเป็ดไป น้ำซอสคือดีมาก เป็นซิกเนเจอร์ของร้านเลย บรรยากาศร้านก็ดี ให้อารมณ์หว่องเข้ากับบรรยากาศในคืนฝนตก จะกลับไปอีกแน่นอน,pos
พยามบอกเขาว่า ไอน้ำนะ ไม่ใช่ควัน,neu
ไม่ทันและ...กุมาฮาจิบังและ,neg
พาลูกหนูไปกินด้วย,neu
ของหวาน ก็ฮันนี่โทส ของคาวก็บาบีก้อน,neu
ศรีจันทร์คือชอบเนื้อรองพื้นมาก แต่แบบนุแพ้ ฮรือ,neg
งานช้างงงงครัช!!! วันเสาร์ที่ 24/2/2561 พบกันที่ แตงโมทะเลเผา อาหารสด ดนตรีเพราะ เบียร์เย็นๆ...,neu
พาไปกินหน่อยเจ้าค่ะ,pos
งานแสงโสม,neu
ผลการตรวจสอบไปสัมภาษณ์กับสแตนด์บาบีก้อนหน้าร้านนะครับ,neu
พี่เพิ่งรู้ว่าร้านกอล์ฟ เดี๋ยวไปอุดหนุนบ้าง,pos
14 เมษายนของทุกปี คือ วันครอบครัว ค่ะ #สวยกล้าทุกแสง #คู่หูท้าแดด #kmacosmetics,neu
พี่โชคคคคคคค น้องทานเอ็มเคอยู่ เด๋วมาเล่นด้วยนะ,neu
แพ้ผ้าอนามัยอีกแล้วควายจัด,neg
- สำหรับร้าน MK Gold buffet ที่เปิดขายทุกวัน มีสองสาขาคือ - สาขาศาลาแดง - สาขาEsplanade รัชดา - สำหรับร้าน MK Gold buffet ที่เปิดขายเฉพาะวันจันทร์ - ศุกร์ มีรายชื่อสาขา ดังต่อไปนี้ 1.สาขาเอกมัย 2.สาขาเซ็นทรัล เวิล์ดค่ะ ^^,neu
